               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.030958,            0.016442,            0.014356,             0.64439,             0.59991,             0.66933,             0.34501,            0.023599,           0.0054919,            0.006574,            0.007007,            0.007007,            0.007007
                  93,            0.029068,            0.016375,            0.015759,             0.70637,             0.71093,             0.74137,             0.39571,            0.023128,           0.0051497,           0.0043361,           0.0069741,           0.0069741,           0.0069741
                  94,            0.029755,              0.0161,            0.011615,             0.68679,             0.75575,             0.77629,             0.46421,            0.020677,           0.0047809,           0.0043874,           0.0069412,           0.0069412,           0.0069412
                  95,            0.027451,            0.014548,            0.010049,             0.63588,             0.69051,             0.76222,              0.4492,            0.021917,           0.0050744,           0.0046915,           0.0069083,           0.0069083,           0.0069083
                  96,            0.034634,            0.016662,            0.012683,             0.69755,             0.72148,             0.75974,             0.43177,            0.021834,           0.0049388,           0.0045579,           0.0068754,           0.0068754,           0.0068754
                  97,             0.02842,            0.014691,            0.011222,             0.74246,             0.76913,             0.78101,             0.45607,            0.023511,            0.004916,            0.005382,           0.0068425,           0.0068425,           0.0068425
                  98,            0.029488,            0.016213,            0.010132,              0.7659,             0.75193,             0.78845,             0.46305,            0.023776,           0.0048272,           0.0052091,           0.0068096,           0.0068096,           0.0068096
                  99,            0.031531,            0.016571,            0.012097,             0.69755,             0.80645,             0.82029,             0.45565,            0.022183,           0.0047064,           0.0038043,           0.0067767,           0.0067767,           0.0067767
                 100,            0.027205,            0.015038,            0.011907,             0.63704,             0.82415,             0.79624,             0.48742,            0.020575,           0.0046306,           0.0047656,           0.0067439,           0.0067439,           0.0067439
                 101,            0.024894,            0.015127,            0.013053,             0.72444,             0.74789,             0.80464,             0.50748,            0.021608,           0.0046872,           0.0034893,            0.006711,            0.006711,            0.006711
                 102,            0.026728,            0.015089,           0.0092023,             0.68667,             0.76012,             0.76261,             0.47418,            0.021243,           0.0048512,           0.0045115,           0.0066781,           0.0066781,           0.0066781
                 103,            0.025091,            0.014896,           0.0094576,             0.67448,             0.74515,             0.77264,             0.47437,            0.022433,           0.0045445,           0.0051473,           0.0066452,           0.0066452,           0.0066452
                 104,            0.025485,            0.015444,            0.010852,             0.68869,             0.70675,             0.77278,              0.4841,            0.021743,           0.0047277,           0.0041555,           0.0066123,           0.0066123,           0.0066123
                 105,            0.029408,            0.014475,           0.0091186,             0.75987,             0.69634,             0.75413,             0.46693,            0.022341,           0.0045566,           0.0043043,           0.0065794,           0.0065794,           0.0065794
                 106,            0.028586,            0.014371,            0.007857,             0.75214,             0.75907,             0.80903,             0.46234,            0.021751,           0.0047255,           0.0036685,           0.0065465,           0.0065465,           0.0065465
                 107,            0.026164,            0.016227,           0.0082654,             0.76105,             0.86111,             0.81901,             0.51665,             0.01981,            0.004652,           0.0039481,           0.0065136,           0.0065136,           0.0065136
                 108,            0.026893,             0.01547,            0.007705,              0.7985,              0.8193,               0.824,             0.48478,            0.022024,           0.0046596,           0.0035733,           0.0064807,           0.0064807,           0.0064807
                 109,            0.031314,            0.014883,           0.0095402,              0.7117,             0.81242,             0.82219,             0.50566,            0.020291,           0.0046061,           0.0040094,           0.0064478,           0.0064478,           0.0064478
                 110,            0.021952,            0.014113,           0.0076045,             0.68602,             0.87504,             0.82963,             0.50247,            0.021267,           0.0045485,           0.0039517,            0.006415,            0.006415,            0.006415
                 111,            0.027794,            0.014467,            0.010435,             0.69588,             0.87564,             0.83338,             0.52027,            0.021586,           0.0046691,           0.0036279,           0.0063821,           0.0063821,           0.0063821
                 112,            0.023704,            0.013387,           0.0099693,             0.70913,             0.79083,             0.79881,             0.46939,            0.021438,           0.0048701,           0.0040669,           0.0063492,           0.0063492,           0.0063492
                 113,            0.021426,            0.014703,           0.0067438,             0.76527,             0.83428,             0.84649,             0.56629,            0.018996,           0.0044301,           0.0030829,           0.0063163,           0.0063163,           0.0063163
                 114,             0.02674,            0.014044,           0.0073318,             0.71807,             0.84866,              0.8325,             0.55981,            0.020333,           0.0046092,           0.0035074,           0.0062834,           0.0062834,           0.0062834
                 115,             0.02699,            0.014629,           0.0079815,             0.79895,             0.78154,               0.838,             0.54147,            0.021079,           0.0046932,            0.003533,           0.0062505,           0.0062505,           0.0062505
                 116,            0.026829,             0.01398,           0.0093318,             0.72604,             0.81266,             0.81796,             0.49872,            0.021614,           0.0047731,           0.0036151,           0.0062176,           0.0062176,           0.0062176
                 117,            0.027057,            0.014395,           0.0082216,             0.72676,             0.84746,             0.83792,              0.5221,            0.021298,           0.0045444,           0.0037485,           0.0061847,           0.0061847,           0.0061847
                 118,            0.023509,            0.014416,           0.0081746,             0.79872,             0.84843,             0.87055,             0.55426,            0.023859,           0.0046527,           0.0030165,           0.0061518,           0.0061518,           0.0061518
                 119,            0.023826,            0.014517,           0.0082539,             0.78994,             0.80745,             0.86706,             0.53585,            0.021638,           0.0048833,           0.0032896,           0.0061189,           0.0061189,           0.0061189
                 120,             0.02457,            0.013962,           0.0079272,             0.79174,              0.8702,             0.87087,             0.57174,            0.021226,           0.0047799,           0.0033993,            0.006086,            0.006086,            0.006086
                 121,            0.025505,            0.014024,           0.0083144,             0.81142,             0.86814,             0.86911,             0.54977,            0.020966,           0.0047122,           0.0032112,           0.0060532,           0.0060532,           0.0060532
                 122,            0.025128,            0.014587,           0.0077918,              0.8313,             0.85459,             0.88135,             0.53475,             0.02173,           0.0047332,           0.0031136,           0.0060203,           0.0060203,           0.0060203
                 123,            0.027776,            0.015012,            0.011773,             0.82121,             0.85402,             0.85922,              0.5209,            0.020741,           0.0047357,           0.0039071,           0.0059874,           0.0059874,           0.0059874
                 124,            0.025336,            0.014841,           0.0081637,             0.73935,             0.87439,             0.82893,             0.51014,            0.018783,           0.0046451,            0.005116,           0.0059545,           0.0059545,           0.0059545
